"Code"	"Groupe"	"Nom francais"	"Nom scientifique"	"Risque d'erreur (%)"	"Nb Validations"	"Effort de validation"	"Nb de Contacts par Nuit"	"Niveau d'Activite"	"TriGroupe"
"Pippip"	"Chauve-souris"	"Pipistrelle commune"	"Pipistrellus pipistrellus"	"1"	"26"	"FORT"	"949"	"FORTE"	3
"Eptser"	"Chauve-souris"	"Serotine commune"	"Eptesicus serotinus"	"1"	"6"	"FORT"	"63"	"FORTE"	3
"Pipkuh"	"Chauve-souris"	"Pipistrelle de Kuhl"	"Pipistrellus kuhlii"	"1"	"8"	"FORT"	"42"	"MODEREE"	3
"Nycnoc"	"Chauve-souris"	"Noctule commune"	"Nyctalus noctula"	"1"	"1"	"SUFFISANT"	"38"	"FORTE"	3
"Nyclei"	"Chauve-souris"	"Noctule de Leisler"	"Nyctalus leisleri"	"1"	"2"	"FORT"	"26"	"FORTE"	3
"Pipnat"	"Chauve-souris"	"Pipistrelle de Nathusius"	"Pipistrellus nathusii"	"6"	"2"	"FORT"	"20"	"FORTE"	3
"Pleaus"	"Chauve-souris"	"Oreillard gris"	"Plecotus austriacus"	"10"	"2"	"SUFFISANT"	"20"	"FORTE"	3
"Myonat"	"Chauve-souris"	"Murin groupe Natterer"	"Myotis nattereri"	"1"	"12"	"FORT"	"14"	"FORTE"	3
"Pleaur"	"Chauve-souris"	"Oreillard roux"	"Plecotus auritus"	"10"	"1"	"SUFFISANT"	"5"	"TRES FORTE"	3
"MyoGT"	"Chauve-souris"	"Murin de grande taille"	"Myotis cf. myotis"	"1"	"4"	"FORT"	"4"	"FORTE"	3
"Myodau"	"Chauve-souris"	"Murin de Daubenton"	"Myotis daubentonii"	"50"	"1"	"FAIBLE"	"4"	"MODEREE"	3
"Myoema"	"Chauve-souris"	"Murin a oreilles echancrees"	"Myotis emarginatus"	"10"	"2"	"FORT"	"4"	"FORTE"	3
"Barbar"	"Chauve-souris"	"Barbastelle d'Europe"	"Barbastella barbastellus"	"1"	"2"	"FORT"	"3"	"MODEREE"	3
"Rhihip"	"Chauve-souris"	"Petit Rhinolophe"	"Rhinolophus hipposideros"	"1"	"2"	"FORT"	"2"	"MODEREE"	3
"Phanan"	"Sauterelle"	"Phaneroptere meridional"	"Phaneroptera nana"	"7"	"0"	"-"	"357"	"FORTE"	2
"Yerray"	"Sauterelle"	"Decticelle frele"	"Yersinella raymondii"	"87"	"0"	"-"	"7"	"MODEREE"	2
"Urorug"	"Sauterelle"	"Ephippigere carenee"	"Uromenus rugosicollis"	"30"	"0"	"-"	"3"	"MODEREE"	2
"Leppun"	"Sauterelle"	"Sauterelle ponctuee"	"Leptophyes punctatissima"	"87"	"0"	"-"	"1"	"FAIBLE"	2
"Phogri"	"Sauterelle"	"Decticelle cendree"	"Pholidoptera griseoaptera"	"96"	"0"	"-"	"1"	"FAIBLE"	2
"Rusnit"	"Sauterelle"	"Conocephale gracieux"	"Ruspolia nitidula"	"91"	"0"	"-"	"1"	"FAIBLE"	2
"noise"	"Autre"	"bruit"	"noise"	"76"	"0"	"-"	"271"	"FAIBLE"	1
